"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2024-55043-19/09/2025","01",1,"SA","Motor Cars - Sedan","2022","South","Female","049","SA","C","Full","Not Towing","Stopped on Carriageway","001","5043",,
"2024-55043-19/09/2025","02",0,"SA","Station Wagon","2015","South","Male","030","SA","C","Full","Not Towing","Straight Ahead","001","5158",,
"2024-55044-19/09/2025","01",0,"SA","Utility","2014","East","Male","056","SA","LR","Full","Not Towing","Straight Ahead","001","5032",,
"2024-55044-19/09/2025","02",0,"SA","Station Wagon","2020","South","Female","039","SA","C","Full","Not Towing","Right Turn","001","XXXX",,
"2024-55045-19/09/2025","01",1,"SA","Station Wagon","2009","North","Female","072","SA","C","Full","Not Towing","Straight Ahead","001","5019",,
"2024-55045-19/09/2025","02",1,"SA","Motor Cars - Sedan","2016","West","Female","066","SA","C","Full","Not Towing","Right Turn","002","5020",,
"2024-55046-19/09/2025","01",1,"SA","Station Wagon","2024","South West","Female","076","SA","C","Full","Not Towing","U Turn","001","5120",,
"2024-55046-19/09/2025","02",1,"SA","Station Wagon","2020","South West","Male","071","SA","C","Full","Not Towing","Straight Ahead","001","5109",,
"2024-55047-19/09/2025","01",0,"SA","RIGID TRUCK LGE GE 4.5T","1994","North East","Male","048","SA","HRR","Full","Not Towing","Straight Ahead","001","5109",,
"2024-55047-19/09/2025","02",0,"SA","Station Wagon","2020","North East","Female","022","SA","C","Provisional 2","Not Towing","Left Turn","001","5107",,
"2024-55048-19/09/2025","01",0,"SA","Motor Cars - Sedan","2005","North West","Male","046","SA","MR","Full","Not Towing","Right Turn","001","5088",,
"2024-55048-19/09/2025","02",0,"SA","Motor Cycle","2005","South West","Male","057","SA","CR","Full","Not Towing","Straight Ahead","001","5096",,
"2024-55049-19/09/2025","01",1,"VIC","Panel Van","2021","North","Female","036","SA","CR","Full","Not Towing","Straight Ahead","001","5033",,
"2024-55049-19/09/2025","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2024-55050-19/09/2025","01",1,"SA","Station Wagon","2022","South","Male","086","SA","C","Full","Not Towing","Stopped on Carriageway","001","5158",,
"2024-55050-19/09/2025","02",0,"SA","SEMI TRAILER","2013","South","Male","062","SA","MC","Full","Trailer","Straight Ahead","001","5462",,
