road_no,tesecn_start_rrd,tesecn_end_rrd,tesecn_id,tesecn_volume,traffic_score,crashes_30m,has_crash_near_segment,fatal_serious_30m,child_30m,ped_30m,severity_weighted_30m,high_risk,cv_percent,rlcwy_code,rlcwy_code_binary
6601,3.93,4.4,4428228.0,33000,21200.0,99,True,2,2,6,159,1,4.5,L,1
5857,0.0,0.81,3287591.0,2700,1700.0,29,True,1,0,3,54,0,4.5,U,0
8331,0.0,9.02,3288337.0,170,150.0,3,True,1,0,0,13,0,12.5,U,0
5218,14.81,15.56,3287245.0,20300,12900.0,74,True,3,3,4,139,1,4.5,L,1
62042,0.0,0.51,13149543.0,10300,11300.0,8,True,0,0,0,8,0,17.5,U,0
3500,6.08,8.23,7028155.0,10100,12000.0,18,True,4,3,4,93,1,21.0,L,1
6604,4.54,4.79,4429336.0,36700,22700.0,72,True,1,1,3,102,1,4.0,L,1
6000,0.61,1.07,3287606.0,18300,13200.0,53,True,3,0,5,108,1,7.0,L,1
8347,0.0,0.96,3288341.0,4600,3200.0,4,True,0,0,0,4,0,6.5,U,0
6464,1.65,2.46,3287933.0,33000,19300.0,55,True,3,4,2,115,1,3.0,L,1
3486,5.25,13.58,6402003.0,1500,1500.0,1,True,1,1,0,16,0,15.5,U,0
6012,0.78,1.17,4428026.0,29200,20300.0,62,True,2,0,5,107,1,6.0,L,1
2415,12.38,13.19,3286239.0,10300,7600.0,21,True,0,0,0,21,0,7.5,U,0
8000,186.4,193.6,12993657.0,4500,5100.0,6,True,2,1,0,31,0,19.0,U,0
62041,0.0,0.3,13149564.0,9500,8300.0,14,True,1,0,1,29,0,11.5,U,0
3500,1.64,2.48,3286418.0,13500,14700.0,15,True,0,1,1,25,0,18.0,L,1
8655,0.0,0.28,3288415.0,950,1100.0,0,False,0,0,0,0,0,20.0,U,0
2415,0.0,7.65,3286235.0,1900,2300.0,5,True,1,0,0,15,0,20.5,U,0
67802,0.0,0.42,13115646.0,4300,3100.0,21,True,0,1,3,41,0,7.0,U,0
8661,0.14,0.73,3288425.0,1300,1200.0,1,True,0,0,0,1,0,13.0,U,0
6786,0.0,0.53,5101833.0,9100,7200.0,17,True,0,1,0,22,0,9.0,U,0
7000,0.0,42.5,3288083.0,46,70.0,3,True,0,0,0,3,0,30.5,U,0
8400,0.0,8.03,3288346.0,2300,3000.0,5,True,0,1,0,10,0,24.0,U,0
3006,0.93,10.07,3286305.0,480,550.0,2,True,0,0,0,2,0,20.0,U,0
5800,0.0,0.97,7688908.0,2000,2000.0,8,True,1,1,1,28,0,14.5,L,1
8667,4.19,6.9,3288430.0,650,650.0,3,True,0,0,0,3,0,15.5,U,0
7000,54.79,55.43,7217043.0,9200,5400.0,3,True,0,0,0,3,0,3.0,L,1
6126,0.0,0.56,13146985.0,8900,4900.0,53,True,1,0,7,98,1,2.0,U,0
5218,8.21,9.02,3287233.0,39800,33000.0,214,True,5,4,5,309,1,10.0,L,1
3006,67.07,97.45,3286309.0,950,1100.0,14,True,2,0,0,34,0,18.0,U,0
5800,1.49,2.09,7070185.0,4500,7600.0,5,True,1,0,0,15,0,34.5,L,1
7200,207.29,209.97,3288195.0,5800,7300.0,4,True,0,0,0,4,0,22.5,U,0
2600,155.35,161.59,3286264.0,900,1100.0,6,True,0,0,1,11,0,21.0,U,0
